message_id,thread_id,text
CAL_0068,2949389,@117086 Sou o feliz proprietário de um - #FireTvStick - acabou de chegar ✌️✌️✌️bora fazer #unboxing - abandonando meu Apple TV de 3ª geração. - Amazon traga toda a linha para o Brasil 🙏🏻 https://t.co/cthhL3tSlP
CAL_0069,2285496,@AmazonHelp Order #702-5062258-0823445
CAL_0070,1209443,This amazon associate just cursed on the phone with me. Her name is Niki @115821
CAL_0071,2766965,J'ai l'impression de passer ma vie a chercher mes colis a l'autre bout de la ville merci @120533 ......
CAL_0072,597966,@AmazonHelp Your website told me I would receive my package today yesterday now it’s telling me it will arrive on Dec. 5th when I ordered it on Nov. 27 that’s not right especially when it’s 1 Day Shipping
CAL_0073,1734531,i'm also annoyed that my amazon parcel is late af so i'm just gonna read my stephen king book and mope
CAL_0074,1444376,@AmazonHelp Tried all of these and no sign... spoken to neighbours and everyone in the office. No sign. Who signed for it?
CAL_0075,78771,@AmazonHelp What is the time??
CAL_0076,2663561,@AmazonHelp Ur support teams doesn't provide exact reason. They have their own readymade answers
CAL_0077,2279400,@117086 Mr. Robot
CAL_0078,694438,"@115850 20 mails 7-8 tweets, 10-12 calls. Now not able to connect to ur call cntr.. What else do I need to get my refund?? Been 1 mnth nd 13 days since I canceled my order. @115851 @126033 @2156 #Amazon #BlackFridayDeals https://t.co/cjhHxw0uqW"
CAL_0079,182881,@AmazonHelp I’ve gotten 38 security emails today. I reported on web chat and changed my password but I’m still receiving them. Please help https://t.co/V1bPGP7sv9
CAL_0080,2336800,Amazon注文してコンビニ受取だとプライム会員でも通常発送になるのか。。
CAL_0081,319824,@AmazonHelp Amazon sold me a jiofi device and NOTHING was mentioned that you wont get any offers from jio and now I m left cheated!! Please help!!
CAL_0082,1357637,@AmazonHelp Don't you guys get tired of spreading the same lie again n again
CAL_0083,2922507,@AmazonHelp Motherchod sala.. Take action
CAL_0084,2712549,@115850 @AmazonHelp whom do i contact for amazon pay issues?
CAL_0085,274020,@115850 @13918 @137848 sir plz stop rampant loot by corp Amazon since u r incharge.order &amp; no delvry # 405-7909813-0039543
CAL_0086,340166,"@115821: Do you deliver Children Tablet in Karachi, Pakistan, if I order here in U.S. Anxiously waiting for your response."
CAL_0087,548017,@AmazonHelp Carrier was USPS. Tracking ID 936128__credit_card__
CAL_0088,2943291,@115850 Why there is need of GST number while registering as seller on Amazon.in even though as per decision 23rd GST Council meeting &amp; Notifications no requirement of GST registration if turnover is below Rs. 20 lacs for Financial year.
CAL_0089,233786,"Hmmm I feel like my @AmazonHelp return got lost in the mail. Sent off on the 21st, still not received yet. How long does it normally take?"
CAL_0090,2926398,@115821 Hey amazon. You decided to refund an order instead of replacing it but didn't bother to refund the full amount (import fees) of an item I didn't even get!?!? The item is still being listed on your site!!!
CAL_0091,421532,@115850 @AmazonHelp brought shoes still not delivered. Expected delivery was 3.10 17. Track id 710391442845. Worst service ever.
CAL_0092,142827,@AmazonHelp Gracias
CAL_0093,2763504,@115850 they cheated people and didn't gave sufficient information didn't reply any tweet and didn't reply on mail.... And i can't even call them....... Wrost services
CAL_0094,19143,@115850 Really!!! Check the image.I have not received it yet and when I spoke to customer care she said it will take 3 days.I paid for fast delivery https://t.co/fBEeZGvhDa
CAL_0095,2212173,@AmazonHelp Hope I will get a gift MiMix as a gift :P
CAL_0096,2176494,@AmazonHelp Can anyone call right away please
CAL_0097,957923,@AmazonHelp @41614 long it will take to process a prime membership let me know. M trying 4 last 5hrs .Worst experience.
CAL_0098,1666531,"@AmazonHelp I am waiting for an e-mail from an accountant specialist, I was told it would be 24-48 hours."
CAL_0099,309948,"@AmazonHelp Yep. Tried that, deleting cache, restarting fire stick etc...."
CAL_0100,2571971,@AmazonHelp The link didn’t take me anywhere? But the email confirmation said as followed https://t.co/ddVndAjRWU
