message_id,thread_id,text,escalate_yn,escalate_rule,labelled_by,human_verified
C2_0019,526097,@115850 Order# 402-9314706-1743550 Current Status: Out for delivery Kindly share the contact details of the person who will be delivering the parcel.,True,4,human_cal2_session_v1,True
C2_0020,1009244,"@AmazonHelp wondering when Slobberknocker by Jim Ross is shipping in the UK, released Thursday but no update on dispatch date?",False,,human_cal2_session_v1,True
C2_0021,564904,"@AmazonHelp Well, I want to split a payment for a purchase. But was told I can only do it using an Amazon gift card plus debit/credit card.",False,,human_cal2_session_v1,True
C2_0022,557097,@AmazonHelp Received a refund after cancelling prime but then on the same day you sent the refund. You took another £7.99. Can you sort this out please.,True,2,human_cal2_session_v1,True
C2_0023,538531,"@AmazonHelp We’ve had another one dispatched free of charge but it’s happened another twice since then, luckily the parcels haven’t been stolen but not ideal to come home and my stuffs lying out on the street",False,,human_cal2_session_v1,True
C2_0024,2641346,OMG my @115821 order from Thursday still hasn't arrived Prime Fail! It was a 6 y/o's last minute Halloween costume change.,False,,human_cal2_session_v1,True
C2_0025,2446265,"@AmazonHelp Received my package today, 2 days late. This happens far too often. I pay for a Prime membership because I want the 2 day shipping. If all I get for my money is basically standard shipping with a fake delivery notice on day 2 I might as well cancel my membership.",False,,human_cal2_session_v1,True
C2_0026,1387337,@AmazonHelp Yes. I hv reached out to u. The cashback shud HV been added 13th oct. I called ND they said it ll take 15 days more. It's yet to reflect,True,5,human_cal2_session_v1,True
C2_0027,2735662,If I have prime why does @115821 keep charging me shipping???????,False,,human_cal2_session_v1,True
C2_0028,1373630,"@AmazonHelp O pedido chegou na minha cidade há 2 dias, mas não entregaram. O site da transportadora acusa q sairam p/ entregar, mas faz + de 24h isso",False,,human_cal2_session_v1,True
C2_0029,1525100,"Dear @116090, 24 hr concierge means no failed deliveries. Please stop with the excuses. Truth: delivery is late. That's ok. @AmazonHelp",False,,human_cal2_session_v1,True
C2_0030,644036,"@115821 , it's been a month since i requested to return my money I even have mailed you a no. of times and called amazon several times. https://t.co/SwFVHA0wL3",True,5,human_cal2_session_v1,True
C2_0031,75956,"@AmazonHelp Hiya, it's still not appearing !",False,,human_cal2_session_v1,True
C2_0032,644867,@AmazonHelp There was no survey. No one helps me right now. I did not recieve my orders. But i’ve already pay including delivery costs. @115830,True,5,human_cal2_session_v1,True
C2_0033,2522383,@115850 @123644 @115823 Simply amazed by yr lightning-quick customer service. I hd nt rcvd my Amazon Pay cashback. Sent a plain message thru d Amazon app n d cashback ws credited in less than 5 mins!!! A perfect combo of powerful AI and human connect!!! Kudos to yr team!,True,5,human_cal2_session_v1,True
C2_0034,247039,@115850 I purchased Nokia 6 from amazon order #408-4016399-0973128. Now when I wanted to return it the CC not giving me proper response.,True,5,human_cal2_session_v1,True
C2_0035,919079,Oye @123813 ¿cuándo estarán disponibles los episodios nuevos de Mr Robot? Sufro.,False,,human_cal2_session_v1,True
C2_0036,2962656,@AmazonHelp C20028582823,True,4,human_cal2_session_v1,True
C2_0037,2115579,Hey @115821 where is my memory card as I ordered it a week ago and pay for Amazon Prime hahahaha,False,,human_cal2_session_v1,True
C2_0038,1091654,Tried to get a free book on @115821 in exchange of an audible trial. Then it never comped my book. Assholes.,False,,human_cal2_session_v1,True
C2_0039,2345574,@AmazonHelp I am unable to contact manufacturer.if possible could you please contact them about the product,False,,human_cal2_session_v1,True
C2_0040,183611,@AmazonHelp Already done,True,7,human_cal2_session_v1,True
C2_0041,1285459,"@AmazonHelp Obrigado pela ajuda, tenha um ótimo dia de trabalho",False,,human_cal2_session_v1,True
C2_0042,1456408,@AmazonHelp I have shared my details many times on the link provided by you. How many times will I do the same?,True,5,human_cal2_session_v1,True
C2_0043,437331,@AmazonHelp Io sono il destinatario non il mittente...,False,,human_cal2_session_v1,True
C2_0044,1898521,@AmazonHelp 😞👍 and I'm still constantly tweeting about the quiz 👍 good. Didn't left a single day for tweetin you people. I won't ever participate now 💔,False,,human_cal2_session_v1,True
C2_0045,969763,Congrats @115821 you broke @115817 ...who somehow is the only carrier that didn't see it coming,False,,human_cal2_session_v1,True
C2_0046,1249979,@115821 what the heck? My prime package said it was out for delivery by 8pm and now it's saying it won't be here for 2 more days!?? 😤,False,,human_cal2_session_v1,True
C2_0047,392151,@AmazonHelp Amazon Shipping - no surprise there.,False,,human_cal2_session_v1,True
C2_0048,1119579,@115821 won't add my bank account information as a payment option??,False,,human_cal2_session_v1,True
C2_0049,377933,Now if my @115821 #prime fees aren’t due until the 22nd why would they suspend my membership TODAY? What’s with these companies?💩🤢,False,,human_cal2_session_v1,True
C2_0050,2296507,@AmazonHelp Received an email saying it is out for delivery but have not received the package.Paying for prime membership yet not receiving goods when stated,False,,human_cal2_session_v1,True
C2_0051,1578399,@AmazonHelp No updates at all. From what I am seeing online no one who ordered it from Amazon is getting it. Rep i spoke to said inventory issues.,False,,human_cal2_session_v1,True
C2_0052,2471648,@AmazonHelp There is no option on the order details to query why they haven't arrived and nothing said it would be a multipart order. It lists all as delivered which is not true.,False,,human_cal2_session_v1,True
C2_0053,2104970,@136301 @120533 Quand je compare avec le colis exemplaire de la @6326 pour ma Switch avec coussin d'air tout autour de la boite de la console. Les choses ont drôlement changé.,False,,human_cal2_session_v1,True
C2_0054,2718511,@115850 i hav not been refunded 1799rs. Since september ..never expected such service from amazon..hope now it will b resolved.,False,,human_cal2_session_v1,True
C2_0055,1421938,@AmazonHelp They've informed me that the parcel number (# 0741985306) is incorrect. What should I do? My order # is 026-6091793-6674731,True,4,human_cal2_session_v1,True
C2_0056,1762336,@AmazonHelp It’s been updated and will be delivered tomorrow now. Thank you for your help. 😊,False,,human_cal2_session_v1,True
C2_0057,2790493,@AmazonHelp Hoy. Y és un producto Prime,False,,human_cal2_session_v1,True
C2_0058,729059,@115850 I have already posted the details. My contact no is 9884013570,True,4,human_cal2_session_v1,True
C2_0059,1986346,"@AmazonHelp Votre système est à revoir ;) Du moins, avertir votre clientèle serait le minimum !",False,,human_cal2_session_v1,True
C2_0060,2130883,@AmazonHelp It's .com,True,7,human_cal2_session_v1,True
C2_0061,1599752,LEDがつかない不良品がAmazonから届いた,False,,human_cal2_session_v1,True
C2_0062,1010799,@AmazonHelp PLZ stop using @118706. The @123967 is lazy &amp; will not deliver pass the 2nd Flr. Not many 2 story bldgs in USA?? @115821,False,,human_cal2_session_v1,True
C2_0063,2948156,"Why have @115830 delivered a dvd to our neighbours we don’t like when it obviously would’ve fit through the letterbox, or in our safe place 😡",False,,human_cal2_session_v1,True
C2_0064,63948,"The embarrassing level of @115830 first item damaged not delivered, promised quick delivery of new 1 at no extra cost, then that doesn’t turn up and I get refunded, ask for an investigation, no reply 4 days after they said they would reply",True,5,human_cal2_session_v1,True
C2_0065,108105,"@AmazonHelp Nous faison quoi la ? Jai quand meme paye le supplément pour être livré samedi. Si javais voulu etre livré mardi, pas besoin de payer de supplément... Si ?",False,,human_cal2_session_v1,True
C2_0066,603179,"@AmazonHelp When the orders have turned up, we think it has been the same courier but we’re not 100% sure. Prior to the last month or so it was always the same delivery guy and he was brilliant.",False,,human_cal2_session_v1,True
C2_0067,1634108,@AmazonHelp Surely it's your tracking that's supposed to keep me up to date? Not the other way round!,False,,human_cal2_session_v1,True
C2_0068,1495270,"@AmazonHelp As far as I am aware he hasn't, he is only 13.",False,,human_cal2_session_v1,True
C2_0069,1592467,Hey @115821 where the hell is my package that was supposed to be delivered YESTERDAY!!!,False,,human_cal2_session_v1,True
C2_0070,2772994,@115830 are a piece of shit. 🙄 https://t.co/I1lP3hcCZ3,False,,human_cal2_session_v1,True
C2_0071,980261,レバーもゴールドに変えたいのに全く届かない。 Amazon予定過ぎてますけど(ﾉД`),False,,human_cal2_session_v1,True
C2_0072,2465230,ちょっと待ってAmazon music強すぎない？ https://t.co/xP7RqYRxck,False,,human_cal2_session_v1,True
C2_0073,789761,@AmazonHelp Please check return policy again. Return is possible if product is different from what was ordered. isn't it ?,False,,human_cal2_session_v1,True
C2_0074,2103734,Nothing beats being super sick for days and ordering a @621131 humidifier on @115821 and it doesn’t even work.,False,,human_cal2_session_v1,True
C2_0075,136886,"@AmazonHelp @115830 Hello, I have not received a delivery even though it states it has been delivered! Please help!",False,,human_cal2_session_v1,True
C2_0076,377043,"@AmazonHelp One that didn’t arrive yesterday was AMZL. Last week two identical items same order, both UPS, one arrived on time the other 4 days later.",False,,human_cal2_session_v1,True
C2_0077,1459068,@120533 Pouvez vous venir mp svp ?,False,,human_cal2_session_v1,True
C2_0078,442848,"@AmazonHelp 3 phone calls, 1 hour and still you can't unhack my wife's account. How difficult can it be FFS!!!! She just wants access to her account back. #amazon #fail #scam #Hacker #Criminal https://t.co/0HU9gIhAF5",True,5,human_cal2_session_v1,True
C2_0079,2241981,@AmazonHelp you always ask us to fill some forms and you do away with the matter... Your esteemed investigation team came up with a wrong report and you proudly declared that you won't refund or replace my missing product.,True,5,human_cal2_session_v1,True
C2_0080,431169,@AmazonHelp Same set of replies u did 13 days back. Big time frauds.,False,,human_cal2_session_v1,True
C2_0081,1499774,"@AmazonHelp Yes I contacted the support team,cancelled my order and also my prime membership!!",False,,human_cal2_session_v1,True
C2_0082,2850751,"Schade @AmazonHelp, dass ihr es auch bei der Ersatzbestellung nicht schafft ein unbeschädigtes und vorallem NEUES Produkt zu liefern. Buchsendungen waren mal euer Kerngeschäft...? Kaum zu glauben... Dann wohl doch wieder zur Buchhandlung des Vertrauens. 😤",False,,human_cal2_session_v1,True
C2_0083,1010405,"Hola amigos, tienen un centro de soporte? me hicieron un cargo doble por un pedido. @116875",True,2,human_cal2_session_v1,True
C2_0084,1673034,@AmazonHelp Already shared 2 times.,True,5,human_cal2_session_v1,True
C2_0085,2392621,@AmazonHelp 承知いたしました。注意喚起ありがとうございます。,False,,human_cal2_session_v1,True
C2_0086,880002,@AmazonHelp I don't have any tracking package options. I'm sure it was showing that a couple of weeks ago but not now.,False,,human_cal2_session_v1,True
C2_0087,1501544,@AmazonHelp 存じております。 それで怪しいなと思い、皆様に注意喚起させて頂いたのでございます,False,,human_cal2_session_v1,True
C2_0088,2254393,@AmazonHelp This type of services is not expected frm Amazon please help guys my 688 is still not received continuously sending mail and you guys are saying to charge a dispute but bank customer care is denying to raise the dispute charge even I visited branch 6 times please help @115851,True,5,human_cal2_session_v1,True
C2_0089,2198903,".@8623 You don't understand what do we feel going to a travel without Bag. Worst service ever. Product (Travelling Bag) is not delivered on time and when I called delivery boy, he denied to come on time. #amazonindia",False,,human_cal2_session_v1,True
C2_0090,1574987,@AmazonHelp I need a remote for my firestick plz help,False,,human_cal2_session_v1,True
C2_0091,2613275,"@AmazonHelp Nope, not a listed option b/c they're pretending it's ""shipping"" yet clicking Track Package does nothing",False,,human_cal2_session_v1,True
C2_0092,1350335,@115850 surprised me with the ever best customer centric approach. It's much beyond the expectations.,False,,human_cal2_session_v1,True
C2_0093,1177323,@AmazonHelp sir i am rohit vijan i have purchased fitbit altra hr so i returned the product on 11 nov since 25 nov my refund isn't initiated till yet. I am the prime customer of amazon is that service u provide to customers order id 404-8920760-5106753. https://t.co/DWlrVTaUeo,False,,human_cal2_session_v1,True
C2_0094,505025,"@AmazonHelp I've contacted @115821 and @3375 they noted my account, they filed a complaint and now I guess the driver is angry and tosses the merchandise. Amazon NEEDS to allow customers to choose delivery companies !!!",True,5,human_cal2_session_v1,True
C2_0095,105151,@115821 sold a defective car part and now won't help. Cost more than $700 in additional expenses. #amazonfail #,True,5,human_cal2_session_v1,True
C2_0096,542257,@1840 @115821 @115850 @115851 This is your customer team they told me i will informed you against JeffBezos but i think they are cheated me and they promise me that i will call you again after 30 min but they never call me this is the amazon service... https://t.co/OBE8AcH8YZ,True,5,human_cal2_session_v1,True
C2_0097,407487,@115821 soooo Amazon why can’t I log into my seller account?? Not happy,False,,human_cal2_session_v1,True
C2_0098,351854,@AmazonHelp @115850 @118702 @119351 got the message delivered but product not received #worst #service #chor #courier @AmazonHelp @115850 Betteer to order from @118702,False,,human_cal2_session_v1,True
C2_0099,2747106,@AmazonHelp Day 2 if same day delivery still no goods. I’m about to cancel the order. What is going on?,False,,human_cal2_session_v1,True
C2_0100,2438206,"Extended my @115821 Prime membership. Not sure what is being dispatched? Btw, the dispatched status is reflecting since 4 weeks! https://t.co/CFvqrepkDu",False,,human_cal2_session_v1,True
