message_id,thread_id,text
GS_T034,573555,・・・午前中指定のAmazon Echoさんがまだ届かない件。・・・どうなってるんじゃろうか。
GS_T035,2540386,@115850 does #amazonprime mean #slower than the #regular #delivery by any chance !!! #patheticservice #watdhell !!! https://t.co/HX7wB4RQZv
GS_T036,857799,Why am I paying prime when you service is unreliable. 2nd day free shipping? Lies!!! #amazonprime @115821
GS_T037,469438,@132988 colis @120533 prime avec 2 jours de retard et pas de livraison annoncée 😡 Contact dm please.
GS_T038,2388973,"Yo @AmazonHelp , könnt ihr mir sagen wo meine #Prime Bestellung bleibt? Sollte am 11.11 kommen ist aber immer noch nicht da !"
GS_T039,1693651,Embalaje y transporte prime by @115821 https://t.co/d5zvycrYCk
GS_T040,2473350,@AmazonHelp Je vais en faire très bon usage dès son arrivée samedi 😍 (merci le Prime 😝)
GS_T041,1390007,@AmazonHelp Poor poor poor poor service..Even no use of prime account..u guys fucking playing wid me
GS_T042,2798329,今更だけどamazon prime 会員になった うち宅配ボックスがあるから、amazonすごい便利なのよね
GS_T043,1322616,@AmazonHelp Me can how many purchase for get free prime membership
GS_T044,180879,@AmazonHelp @115821 @115850 2 days delayed now. 2nd time in 2 weeks. Presenting to you #prime delivery. Beats me.
GS_T045,2300036,PrimeNow search broken? Haven’t been able to use it for past hour. Seems to be timing out after several seconds. @AmazonHelp
GS_T046,317899,@AmazonHelp I brought something on amazon on the 6th September and I have been charged twice since and been sent the same product twice
GS_T047,695080,"@116875 ¿Qué pasa cuando, siendo cliente prime, mi pedido no llega la fecha garantizada por culpa de la mensajería? ¿Quién se hace responsable? ¿Dónde queda mi garantía?"
GS_T048,671740,@AmazonHelp I have already contacted them they were not even able to find my order. Dumb CS Executives. I was supposed to receive a cashback of Rs. 2500 being a prime member and paying via Pay Balance. Order Id - 403-2439472-2349934. Ridiculous Amazon. @115851
GS_T049,832126,@AmazonHelp So If I have amazon prime membership I can watch netflix with same membership?
GS_T050,1723324,@115830 for a company your size I must admit they way you treat prime customers is absolutely awful
