message_id,text,true_intent,pred_intent,intent_confidence,draft_reply,reply_char_count,reference_reply,retrieval_top1_sim,escalation_decision,escalation_reason
GS_0011,It’s great that @115821 prime gives discounts on special editions. This is the second one we’ve order and both were damaged. Never again. 😡,DELIVERY_DAMAGE,DELIVERY_DAMAGE,0.95,"I am so sorry to hear that your special editions arrived damaged again. I understand how frustrating this is, especially when you were looking forward to them. Please send us a DM with your order details so we can look into this and make it right for you. ^AM",259,@115839 I'm sorry your book arrived this way! You can find replacement/refund options here: https://t.co/zRrkpVcaDF ^VS,0.796,auto,[DELIVERY_DAMAGE] rules passed
GS_0012,@AmazonHelp I'm trying to cancel an order from the Amazon app but it just leads me to a white screen with nothing and it's not shipped or anything how do I cancel it,ORDER_STATUS,ORDER_STATUS,0.95,"I am sorry to hear you are having trouble canceling your order due to that app error. That sounds very frustrating. Please try accessing your account via a web browser on a computer to see if that works. If you still need help, please send us a DM so we can assist. ^MA",269,"@590308 Hello, we do not have access to your account via Twitter. Please reach out to us here via chat/phone and we will try to get this done: https://t.co/JzP7hlA23B ^CR",0.757,auto,[ORDER_STATUS] rules passed
GS_0013,"@115821 ordered ink on 10/1 and still hasn't been delivered. i need to be able to print from home and do my job, how is this prime? https://t.co/LEp5jCKzht",ORDER_STATUS,ORDER_STATUS,1.0,"I am very sorry for the delay, especially since you need your ink for work. I understand how frustrating this is. Please send us a DM with your order number so we can look into the status of your shipment and assist you further. ^AM",232,@755831 So sorry for the delay! We are here to help! What is the current order status shown here: https://t.co/Y5jpI9gRhE ^AD,0.8228,auto,[ORDER_STATUS] rules passed
GS_0014,WTH is going on at @115821 2 horribly screwed up Prime orders in the same week?,GENERAL_COMPLAINT,GENERAL_COMPLAINT,0.85,I am very sorry to hear about the trouble you've had with your recent orders; that is certainly not the experience we want for you. Please send us a DM so we can look into what happened and see how we can best assist you. ^AM,225,"@507582 We'd love to help out, any way we can! Without sharing account/personal details, can you please tell us what's going on? ^WJ",0.8197,auto,[GENERAL_COMPLAINT] rules passed
GS_0015,@173744 I’m a bit confused!  How is it if I placed an order now (Monday at 10:04am) that one day deliver is on Thursday?  What happened to Tuesday and Wednesday? #calendarrevamp? #confused @115830 @AmazonHelp,ORDER_STATUS,ORDER_STATUS,0.95,I understand how frustrating it is when delivery estimates don't align with your expectations. Delivery dates depend on stock availability and shipping cut-off times. Please send us a DM with your order number so we can look into this specific shipment for you. ^AM,265,@165089 Have you received any information on a delay with the order? ^MC,0.7899,auto,[ORDER_STATUS] rules passed
GS_0016,@AmazonHelp Are you guys able to DM so I can screenshot my item and address plus tracking #,ORDER_STATUS,ORDER_STATUS,0.95,I’m sorry to hear you’re having trouble with your order status. We want to get this sorted out for you. Please send us a DM so we can look into this further and provide the best next steps to assist you. ^AM,207,"@366383 Hello there! We don't have access to accounts via Twitter, but we are happy to help if possible! Without providing any personal or account details, please use the link below to tell us more about what's going on. ^EA https://t.co/1XyLaGkcaN",0.8032,auto,[ORDER_STATUS] rules passed
GS_0017,@115850   ordered using fast delivery but still not recieved the order and followed up thrice at call centre please do something.patetic😡,ORDER_STATUS,ORDER_STATUS,1.0,I am very sorry to hear about the delay and the frustration this has caused you. We want to look into this immediately. Please send us a DM with your order details so we can investigate the status of your shipment and assist you further. ^AM,241,"@677311 I'm sorry for the delay, please fill this form: https://t.co/cllwXc2HeK and we'll get back to you right away. ^SI",0.8464,escalate,[rule:repeat_contact] Prior support contact failed or is explicitly referenced — hand off to human.
GS_0018,"@115850 order :407-5264538-1697154
i haven't ordered anything this year,
But u canceled my order as i crossed d limit, what d hell is dis?",ACCOUNT_ACCESS,ORDER_STATUS,0.95,"I am very sorry to hear about the confusion regarding this cancellation, especially if you haven't placed any recent orders. Please do not share your order details here as this is a public space. Send us a DM so we can investigate this for you immediately. ^AM",260,"@167101 Please don't provide your order details, we consider it personal info. Our Twitter page is visible to public. ^NR 3/3",0.7717,escalate,[rule:public_pii] Customer posted an order ID or phone number publicly — human should handle and advise removal.
GS_0019,"@AmazonHelp I did contact, twice. Seems there's no one handling it responsibly. Today I got 2know I have wait 3-4days cuz of your error. I needed the product today, as per the original delivery schedule",ORDER_STATUS,ORDER_STATUS,0.95,I am truly sorry for the frustration caused by this delay and the lack of clear communication you've received. I understand how important it was to receive your order today. Please send us a DM with your order details so we can look into this for you immediately. ^AM,267,@146867 I'm sorry to hear about delay in the delivery. Please reach out to our support team here: https://t.co/vlvfJr4nN9 and we'll help you with your concern. ^HS,0.808,escalate,[rule:repeat_contact] Prior support contact failed or is explicitly referenced — hand off to human.
GS_0020,Waiting in for an Amazon logistics delivery is boring :-(,GENERAL_COMPLAINT,GENERAL_COMPLAINT,0.9,"I’m sorry to hear you’ve been waiting around today; I know how frustrating that can be. If your delivery has missed the date provided in your confirmation email, please send us a DM with your order details so we can look into this for you. ^AZ",243,"@523796 Oh no! I'm sorry to hear about this, Georgia. Have we missed a delivery date provided to you at checkout? ^MW",0.7232,auto,[GENERAL_COMPLAINT] rules passed
GS_0021,LOL @115830 by far THE WORST experience! Waited all day for a delivery to be told...'yeah it's not coming...ah well' #EpicFail #Retailfail,ORDER_STATUS,ORDER_STATUS,0.95,I am very sorry to hear about the frustration caused by this delivery delay. We would like to look into what happened with your order and assist you further. Please send us a DM with your order number so we can investigate this for you. ^TH,240,"@215812 Sorry to hear this - is it a dispatch issue, and what information did we provide ? - Tony D",0.8165,auto,[ORDER_STATUS] rules passed
GS_0022,Very disappointed with @115850 .They promised to deliver it on 9th oct. but now my delivery is delayed. I don't know why they do that. https://t.co/EyMLQkVKhI,ORDER_STATUS,ORDER_STATUS,1.0,I am very sorry to hear about the delay with your order; I understand how frustrating it is when a delivery doesn't arrive as promised. Please send us a DM with your order details so we can look into this and assist you further. ^AM,232,@152512 Apologies for the delay. Has this been reported to our support team yet? You may connect with the support team from here https://t.co/TxK11znixD and they would investigate and help. ^KK,0.8335,escalate,[rule:repeat_contact] Prior support contact failed or is explicitly referenced — hand off to human.
GS_0023,"Halloween costume hasn’t arrived from @115821 yet, fuming paid for two day delivery and it was meant to be here yesterday!",ORDER_STATUS,ORDER_STATUS,1.0,"I am very sorry your costume didn't arrive on time; I understand how frustrating that is, especially for Halloween. We would like to look into this for you right away. Please send us a DM with your order number so we can investigate the status of your delivery. ^AM",265,@620630 I'm very sorry for the delay with your order. We definitely understand the frustration! Delayed orders typically arrive 1-2 days after the missed delivery date. Please let us know if it hasn't arrived by Wednesday. ^HM,0.8153,auto,[ORDER_STATUS] rules passed
GS_0024,@115821 paid for same day delivery and it’s still not here. 🤬🤬🤬 https://t.co/WTdpHNxLXY,ORDER_STATUS,ORDER_STATUS,1.0,I am very sorry to hear your order hasn't arrived as expected today. I understand how frustrating it is to pay for same-day delivery and experience a delay. Please send us a DM so we can look into the status of your package and assist you further. ^AM,251,"@720188 Hi Chris. If the order is not received on time, please get in touch to let us know: https://t.co/JzP7hlA23B ^DC",0.8334,auto,[ORDER_STATUS] rules passed
GS_0025,"So when did @115821 Prime shipping turn into 3 days? Everything I've been ordering lately has taken more than 2 days. Ordered today, Tuesday, and won't be delivered until Friday?",PRIME_SUBSCRIPTION,ORDER_STATUS,0.95,"I’m sorry to hear your recent orders haven't met your expectations. Prime shipping transit times begin once an item departs our facility, which can sometimes differ from the order date. Please send us a DM with your order details so we can look into this for you. ^AM",267,"@135174 I'm sorry for the inconvenience! Two-Day Shipping refers to transit time, in business days, once the item departs from us. This doesn't include any processing time. Are we missing the promised delivery date shown here: https://t.co/Y5jpI9gRhE? ^DW",0.8194,auto,[ORDER_STATUS] rules passed
GS_0026,"@AmazonHelp I've now had two packages that were supposed to be delivered on Sunday marked as delivered and were never seen. I've been home, waiting for them both times and had them marked delivered while waiting only to never see the driver at all.",ORDER_STATUS,DELIVERY_DAMAGE,0.95,I am very sorry to hear that your packages were marked as delivered but never arrived. I understand how frustrating it is to wait for items that don't show up. Please send us a DM so we can look into this and assist you further. ^AM,232,"@221891 I'd like a member of our Amazon Logistics team to look into this with you further. When you have a moment, please add additional information here: https://t.co/e8xn90CtVv Thank you! ^ML",0.7188,auto,[DELIVERY_DAMAGE] rules passed
GS_0027,@115821 Ex: Took 4 months for tubing to be shipped. Took over month for tea bags to be shipped. Now telling lab members to order fm elsewhere.,GENERAL_COMPLAINT,GENERAL_COMPLAINT,0.9,I am very sorry to hear about the repeated delays you’ve experienced with your recent orders. We would like to look into this and assist you further. Please send us a DM with the order numbers so we can investigate what is happening. ^AM,237,@375108 I'm sorry your order has been delayed. We can check on things for you. Just click here :  https://t.co/hApLpMlfHN ^EM,0.7752,auto,[GENERAL_COMPLAINT] rules passed
GS_0028,"@115830 why is every Prime item saying delivery for Wednesday? I pay a lot of money for Prime for next day delivery, not 3 day delivery! How will I be compensated for this?",PRIME_SUBSCRIPTION,PRIME_SUBSCRIPTION,0.95,I am very sorry for the frustration regarding your delivery expectations. We want to look into this for you to see what is happening with your recent orders. Please send us a DM with your account details so we can investigate this further. ^AM,243,@495593 So sorry for the frustrations! Have you noticed this with a specific carrier? We are here to help! ^AD,0.812,auto,[PRIME_SUBSCRIPTION] rules passed
GS_0029,"@10265 I have booked few item from @115850 @AmazonHelp 171 2507067 9234757 order id.
Has been refuse to deliver at home.",ORDER_STATUS,ORDER_STATUS,0.95,I am very sorry to hear that your order was not delivered as expected. I understand how frustrating this is. Please send us a DM with your order number so we can look into this and assist you further. ^AM,204,@210805 Sorry to know about the order tracking updates. Please reach us from here: https://t.co/rS49hgaADF we'll assist you. ^SV,0.7783,escalate,[rule:public_pii] Customer posted an order ID or phone number publicly — human should handle and advise removal.
GS_0030,@AmazonHelp Just that an operating change is causing delays. And the other package has been loaded on a truck for last few hours.,ORDER_STATUS,ORDER_STATUS,1.0,I am very sorry for the frustration caused by these delivery delays. I would like to look into the status of these packages for you. Please send us a DM with your order details so we can investigate this further. ^AM,216,@208009 We understand your concern about your order. Please share your details from the link provided for us to assist you better. ^SV,0.7665,auto,[ORDER_STATUS] rules passed
GS_0031,@AmazonHelp Not yet can you tell me what’s going on if I can if I can give you order number?,ORDER_STATUS,ORDER_STATUS,1.0,I’m sorry to hear your order hasn't arrived as expected; I understand how frustrating that wait can be. We’d like to look into this for you. Please send us a DM with your order number so we can check the status of your shipment. ^AM,232,"@199833 estimates provided, could you let us know if we've missed the estimated delivery date? 2/3 ^MA",0.7971,auto,[ORDER_STATUS] rules passed
GS_0032,Why does @116090  even bother offering two day shipping when they send it regular mail via @132668 .  It never arrives in that time frame.,ORDER_STATUS,ORDER_STATUS,0.95,I am very sorry to hear your package hasn't arrived within the expected timeframe. We want to ensure your shipping experience meets our standards. Please send us a DM with your order number so we can look into the status of your delivery and assist you further. ^AM,265,@250482 I'm sorry for the wait! Have we missed the delivery date given to you at check out: https://t.co/PyACxvY8Qo? ^DW,0.7755,auto,[ORDER_STATUS] rules passed
GS_0033,Anyone else experiencing issues with @115821 prime? Several of my orders over the last few weeks have taken more than 2 days for delivery. Why pay for this service?!,PRIME_SUBSCRIPTION,PRIME_SUBSCRIPTION,0.95,I am very sorry to hear that your recent orders haven't arrived within the expected timeframe. This is certainly not the experience we want for our Prime members. Please send us a DM so we can look into your account and investigate these delivery delays further. ^AM,266,@462184 I'm very sorry about this issue. Have you noticed a trend in late packages with a certain carrier? ^HM,0.8325,auto,[PRIME_SUBSCRIPTION] rules passed
GS_0034,Amazon just delivered my package and they took a snapshot of it and seemingly used their OWN delivery carrier? Anyone else ever had this ha…,GENERAL_COMPLAINT,GENERAL_COMPLAINT,0.85,"I’m sorry for the concern this delivery experience has caused you. We use a variety of carriers to ensure packages arrive as quickly as possible, but I’d like to look into this for you. Please send us a DM with your order number so we can investigate further. ^AM",263,@565694 It sure is! We'd like to look into this for you. Can you please provide your order details here: https://t.co/0NRsRBtGng? ^ST,0.7386,auto,[GENERAL_COMPLAINT] rules passed
GS_0035,@115850 incomplete product delivered &amp; ur now nt taking any report &amp; directing 2 ship it instead .Order No. 407-4652148-9585951,DELIVERY_DAMAGE,DELIVERY_DAMAGE,1.0,I am very sorry to hear that your order arrived incomplete and that you've had trouble reporting this. I understand how frustrating this is. Please send us a DM with your order number so we can look into this and assist you further. ^CS,236,"@750548 Sorry to hear about the disappointing experience. We'd like to help you.  Request you to return the item using this link: https://t.co/3yqvLnyTxi. Please don't provide your order details, we consider it to be personal information.^AR",0.7619,escalate,[rule:public_pii] Customer posted an order ID or phone number publicly — human should handle and advise removal.
GS_0036,"@AmazonHelp I am returning an order and have my proof from the post office, but not had a confirmation from you yet. Posted it Saturday. Thanks",RETURN_REFUND,RETURN_REFUND,1.0,"I’m sorry for the concern regarding your return status. It can take a few business days for our warehouse to process incoming packages once they arrive. To look into this further and check the status of your return, please send us a DM with your order details. ^AM",264,@171655 Sorry for the delay! Let's find out what the status of that return is: https://t.co/laoFcmDCH8. ^JZ,0.7883,auto,[RETURN_REFUND] rules passed
GS_0037,has amazon changed their return process? both the items in my order are defective &amp; I have to pay for the return postage...,RETURN_REFUND,RETURN_REFUND,1.0,I am very sorry to hear that your items arrived defective and that you are being asked to pay for return postage. This is certainly not the experience we want for you. Please send us a DM so we can look into your order details and assist you further. ^AB,254,@463033 Sorry for the inconvenience. Have you contacted them about the incorrect information? Were you able to find a new location? ^KB,0.7158,auto,[RETURN_REFUND] rules passed
GS_0038,@115821 said they're not going to reimburse me my package I never received @134015 DISPUTE THE WHOLE CHARGE PLEASE !!!!,RETURN_REFUND,ORDER_STATUS,0.95,I am very sorry to hear about the frustration regarding your missing package and the reimbursement process. We would like to look into this further to see how we can help. Please send us a DM with your order details so we can investigate this for you. ^AM,255,@731034 I'm so sorry for the difficulty! Have you tried reaching out to USPS? You can do so here: https://t.co/4wKaqfsWNg ^MH,0.7757,escalate,[rule:fraud] Fraud/unauthorized-charge/security claim — needs human investigation.
GS_0039,"@AmazonHelp Can you help please? Yesterday Hermes left a card to say they came to collect the parcel &amp; would return today. No-one has come! Trying to return this within your time frame, can you help please? (Have removed my address from the pic) https://t.co/PR1B1MX1zH",RETURN_REFUND,RETURN_REFUND,1.0,I am very sorry to hear that your collection was missed today; I understand how frustrating it is to wait for a pickup. Please send us a DM with your order details so we can look into the status of your return and assist you further. ^AM,237,@201313 Hi Kirsty. I'm sorry to hear about the trouble! Have you tried to reach out to the carrier who's picking up your parcel? ^HC,0.8115,auto,[RETURN_REFUND] rules passed
GS_0040,@115821 @8623 @115850 I have filed the details but I already contacted tech support they strictly denied. Pls make replacement or refund my money,RETURN_REFUND,RETURN_REFUND,1.0,I am very sorry to hear about the frustration you've experienced with your return request. We want to look into this further for you. Please send us a DM with your order details so we can investigate this with our leadership team and assist you further. ^AM,257,@333405 We've forwarded your details to the concerned team. We'll reach out to you by the end of the day. ^EM,0.8038,escalate,[rule:repeat_contact] Prior support contact failed or is explicitly referenced — hand off to human.
GS_0041,"@AmazonHelp Oh just the usual delayed packages, then wrong items received and then after 2 hours of talking, £10 promo credit received.",GENERAL_COMPLAINT,RETURN_REFUND,0.9,I am very sorry to hear about the repeated issues you've faced with your deliveries and the frustration caused by your recent support experience. We would like to look into this further for you. Please send us a DM so we can review your account details. ^AM,257,@228481 Unfortunately not all items are eligible to be replaced. Were we able to provide any insight as to why we couldn't replace the order? ^MW,0.7701,auto,[RETURN_REFUND] rules passed
GS_0042,@115850 How can refunds this my money https://t.co/vzd9YnpQ6U,RETURN_REFUND,RETURN_REFUND,1.0,I am sorry to hear you are having trouble with your refund. We would like to look into this for you right away. Please send us a DM with your order details so we can investigate the status of your request. ^AM,209,@412267 That's unusual. Let us check this out for you. Please reach us via https://t.co/r8OjOjMdND and we'll look into this for you. ^VM,0.8033,auto,[RETURN_REFUND] rules passed
GS_0043,@115850 i just cancelled an order that was paid through amazon pay. How long would it take to receive the refund?,RETURN_REFUND,RETURN_REFUND,1.0,"I understand your concern regarding the refund timeline for your cancelled order. Typically, refunds for Amazon Pay are processed within 3-5 business days once the cancellation is confirmed. To look into your specific order, please send us a DM. ^AM",249,"@416386 Sorry about the delay with the refund, please connect with us here: https://t.co/TdDksLo6Mf and we'll check this out. ^MS",0.8173,auto,[RETURN_REFUND] rules passed
GS_0044,@115850 your delivery agent says that I'm bound to pay by card for COD orders and are returning my orders back to seller.,ORDER_STATUS,ORDER_STATUS,0.95,I am very sorry to hear about the trouble you've had with your delivery and the payment method. This is certainly not the experience we want for you. Please send us a DM so we can look into this and assist you further. ^YP,222,@733372 Apologies for the trouble with the delivery. We've responded to your query here: https://t.co/OXApCl4TDv ^SK,0.797,auto,[ORDER_STATUS] rules passed
GS_0045,@AmazonHelp It says fulfilled by Amazon. I haven’t returned it yet,RETURN_REFUND,RETURN_REFUND,0.85,I understand your frustration regarding the return process for your order. I would like to look into this for you to see what options are available. Please send us a DM with your order number so we can investigate this further. ^AM,231,@220246 I do get your concern. You may refer to our returns policy here: https://t.co/S4eX6UOjIb. ^MM,0.7862,auto,[RETURN_REFUND] rules passed
GS_0046,@115850 Order ID: 171-7504339-9867535. return is complete and refund has issued. But i haven't received any amount till now.,RETURN_REFUND,RETURN_REFUND,1.0,I am sorry to hear that you haven't received your refund yet. I understand how frustrating this delay can be. Please send us a DM with your order ID so we can look into the status of your refund and assist you further. ^AM,222,@762940 Sorry for the ordeal with the refund. Kindly drop in your details here: https://t.co/IMdRx1GiUr and we'll work on it. ^NS,0.8033,escalate,[rule:public_pii] Customer posted an order ID or phone number publicly — human should handle and advise removal.
GS_0047,@AmazonHelp Yes my order was split into multiple packages and so far two deliveries have been returned indicating customer refused,DELIVERY_DAMAGE,ORDER_STATUS,0.95,I am very sorry to hear that your packages were marked as refused when you did not request this. I understand how frustrating it is to have your deliveries interrupted. Please send us a DM with your order number so we can investigate this with the carrier for you. ^AM,268,"@227104 Sorry to hear that Louise, what were you advised when you called? ^RS",0.7794,auto,[ORDER_STATUS] rules passed
GS_0048,I returned an item with missing screws to Amazon at cost of £8.39. Disappointed to receive only £4.75 back in refund. See pic. @AmazonHelp https://t.co/LfOXlADOBa,RETURN_REFUND,RETURN_REFUND,1.0,I am very sorry to hear about the confusion regarding your refund amount. I would like to look into this for you to see what happened with that transaction. Please send us a DM with your order details so we can investigate this further. ^AM,240,@587121 Sorry for the inconvenient. Have you contacted Customer Support to report what you inform us? ^DA,0.7676,auto,[RETURN_REFUND] rules passed
GS_0049,Loved my #weighted #blanket but needed to change the weight due to joint issues &amp; the company wouldn’t work with me they just wanted me to return it &amp; send it to some random person in California then I’d get a full refund which isn’t what I was asking for.... #YnM .@115821,RETURN_REFUND,RETURN_REFUND,0.95,I am very sorry to hear about the frustration you've experienced with your return process. We want to make sure this is handled correctly. Please send us a DM with your order details so we can look into this and assist you further. ^AM,235,@238502 I'm so sorry your package arrived this way and for the poor experience you've had with us! We hope that you give us another chance to provide you with a better experience. ^AR,0.7376,auto,[RETURN_REFUND] rules passed
GS_0050,@AmazonHelp Hi this is the same place I wrote the first email to - just the standard customer service email. Is there a real person I can email who can help me get my money back please?,RETURN_REFUND,RETURN_REFUND,1.0,I am very sorry for the frustration caused by this delay. I would like to look into this for you personally to see what is happening with your refund. Please send us a DM with your order details so we can investigate this further and assist you. ^AM,249,@705207 Thank you for sharing your details. We've received them and will get back to you with an update at the earliest. ^AU,0.7806,escalate,[rule:repeat_contact] Prior support contact failed or is explicitly referenced — hand off to human.
GS_0051,"@AmazonHelp Ordered Snesclassic yesterday. Deliver 8-10am today. Says delivered. Nowhere to be seen. Speak to CS on the phone, offered refund (1 of 2)",ORDER_STATUS,DELIVERY_DAMAGE,0.95,"I am very sorry to hear your package is missing despite the delivery status. I understand how frustrating this is, especially after speaking with our team. Please send us a DM with your order details so we can look into this further and assist you. ^AM",252,@281463 That's unusual. Have you reported this to our support team? ^MN,0.7205,auto,[DELIVERY_DAMAGE] rules passed
GS_0052,"@AmazonHelp handle refund my money, SUCH A PATHETIC SERVICE AND ESCALATION HADLING TEAM IN @115850 @115821 @AmazonHelp",RETURN_REFUND,RETURN_REFUND,0.95,I am very sorry for the frustration caused by the delay in your refund process. We would like to look into this for you immediately to see what is happening. Please send us a DM with your order details so we can investigate this with our team. ^AM,247,@213582 I understand that you did not receive an update on the refund of your order. You may track your refund here: https://t.co/LjYILTJREp. ^SF,0.831,escalate,[rule:repeat_contact] Prior support contact failed or is explicitly referenced — hand off to human.
GS_0053,"@AmazonHelp 
will you please help me out
I am having problem with return/exchange product.

Are you helpful in your Indian market?",RETURN_REFUND,RETURN_REFUND,1.0,"I am very sorry to hear about the trouble you are having with your return and exchange. We are certainly here to help our customers in India. To look into this for you, please send us a DM with your order details so we can investigate this further. ^AB",252,"@379658 My apologies for the experience you've had, Shivnay. However, the policies differ for items that are shipped by us and for the items that are shipped by the seller. You might want to reach out us here: https://t.co/SyqCPcXvHG for more information on this. ^KS",0.7894,auto,[RETURN_REFUND] rules passed
GS_0054,@AmazonHelp I need them for Friday so I'm not messing around with returns today. Can you send me what I ordered? Ill send back ur 2 quid belt Friday.,RETURN_REFUND,RETURN_REFUND,0.95,I am very sorry for the frustration caused by this mix-up. I understand you need the correct item urgently. Please send us a DM with your order details so we can look into the best way to resolve this for you immediately. ^AM,225,@321479 If you request a replacement - the delivery date will be confirmed before completion ^TD,0.7824,auto,[RETURN_REFUND] rules passed
GS_0055,@AmazonHelp still waiting for refund of failed transaction on amazon pay @115823,RETURN_REFUND,RETURN_REFUND,1.0,I am very sorry for the delay in receiving your refund for this transaction. I understand how frustrating this wait is. Please send us a DM with your order details so we can look into the status of your refund and assist you further. ^AM,237,"@416386 Sorry about the delay with the refund, please connect with us here: https://t.co/TdDksLo6Mf and we'll check this out. ^MS",0.8226,auto,[RETURN_REFUND] rules passed
GS_0056,"@AmazonHelp @115850 Had ordered this saree https://t.co/21cw5RuVR0
but got some cheap looking one. Need exchange https://t.co/JQ4grPjhHM",RETURN_REFUND,RETURN_REFUND,1.0,I am very sorry to hear that the saree you received did not match your expectations. I would like to look into this exchange request for you immediately. Please send us a DM with your order details so we can investigate this further and assist you. ^AS,252,@402398 Apologies for the mismatch. Allow our support team to investigate . You can report it here: https://t.co/R3EfhzgU8B ^CB.,0.834,auto,[RETURN_REFUND] rules passed
