message_id,true_intent,text,pred_intent,rag_reply,norag_reply,rag_total,norag_total
GS_0096,PRIME_SUBSCRIPTION,@AmazonHelp So you don’t get any additional free books on audible if you’re a Prime member? Sure I read it somewhere...,PRIME_SUBSCRIPTION,"I understand the confusion regarding your benefits. While Prime includes access to a rotating selection of titles through Prime Reading and Audible Channels, it does not include a full Audible membership. Please send us a DM so we can clarify your specific account benefits. ^AM","I understand the confusion regarding Prime benefits and Audible. While Prime includes a selection of rotating titles through Prime Reading, it does not include a full Audible subscription. Please send us a DM so we can clarify your account benefits and current status.",25.0,24.0
GS_0080,ACCOUNT_ACCESS,@AmazonHelp is this legit? (can never tell if it’s just some random account emailing u) https://t.co/OC0icspDLl,GENERAL_COMPLAINT,"I understand how concerning it is to receive suspicious emails. To stay safe, please check your Message Center in your account to see if we sent it. If it is not there, please do not click any links. For further assistance, please send us a DM. ^AM","I understand your concern about email authenticity; it is important to stay cautious. To help us verify if this communication is legitimate, please send us a DM with the email address in question. We are here to help you confirm this.",25.0,17.0
GS_0047,DELIVERY_DAMAGE,@AmazonHelp Yes my order was split into multiple packages and so far two deliveries have been returned indicating customer refused,ORDER_STATUS,I am very sorry to hear that your packages were marked as refused when you did not request this. I understand how frustrating it is to have your order split and returned unexpectedly. Please send us a DM so we can investigate the status of these shipments for you. ^AB,I am very sorry to hear that your packages were incorrectly marked as refused. I understand how frustrating it is to have your order split and then returned. Please send us a DM with your order number so we can investigate what happened and assist you further.,25.0,23.0
GS_0197,PRIME_SUBSCRIPTION,"@AmazonHelp @AmazonHelp horrible PRIME experience, feeling cheated 2/2",GENERAL_COMPLAINT,"I am very sorry to hear that your experience has been so frustrating; this is certainly not the level of service we aim to provide. To look into this further and assist you, please send us a DM with more details about the issue you are facing. ^AM",I am truly sorry to hear about your frustrating experience with Prime. We want to make this right for you. Please send us a DM with your account email address so we can look into this and assist you further.,25.0,24.0
GS_0184,ORDER_STATUS,@115850 I ordered earphones (no. - 408-1899080-9287553 ) . Delivery Never even came to me.  Really disappointed with the service . https://t.co/YHJgYR5tga,ORDER_STATUS,I am truly sorry to hear that your earphones have not arrived as expected. I understand how frustrating this experience is. Please send us a DM with your order number so we can look into the status of your delivery and assist you further. ^AM,I am very sorry to hear your earphones did not arrive as expected. I understand how frustrating this is and would like to look into this for you right away. Please send us a DM with your order number so we can investigate the status of your delivery.,25.0,25.0
GS_0183,GENERAL_COMPLAINT,"@115850 @AmazonHelp feel cheated, horrible service. CC called abdul behaved rude and unprofesional @1560  @131027",GENERAL_COMPLAINT,I am very sorry to hear about your experience and the unprofessional behavior you encountered. We take these reports seriously and would like to look into this for you. Please send us a DM so we can gather more details and address this with our team. ^AM,I am truly sorry to hear about your experience and the unprofessional behavior you encountered. We hold our team to a much higher standard. Please send us a DM with your order details so we can investigate this and address your concerns immediately.,25.0,25.0
GS_0131,DEVICE_TECH_SUPPORT,"@AmazonHelp Hi! We have a fire stick purchased in Canada, but are moving to the UK. Can we use it in the UK? Will we need a power converter?",DEVICE_TECH_SUPPORT,"We understand moving internationally can be stressful! While your Fire TV Stick will work in the UK, you will need a plug adapter for the power outlet. Please note that content availability may vary by region. Send us a DM if you need further assistance with your account. ^AM","I understand you’re looking for clarity on using your Fire TV Stick abroad. While the device will work in the UK, you will need a local power adapter as the plug types differ. Please send us a DM so we can look into your specific device model and provide further guidance.",25.0,25.0
GS_0149,DELIVERY_DAMAGE,"And once again Amazon Logistics screwed up a delivery! Right apartment number, wrong address. Good grief!",DELIVERY_DAMAGE,I am very sorry to hear that your package was delivered to the wrong address. I understand how frustrating this is. Please send us a DM with your order number so we can investigate this with our delivery team and make things right. ^AM,I am very sorry to hear about the frustration caused by this delivery error. We want to make this right for you. Please send us a DM with your order number so we can investigate what happened and assist you with a resolution.,25.0,25.0
GS_0093,ACCOUNT_ACCESS,@AmazonHelp I am still waiting for help. How come my balance deducted and it's not there in Amazon Pay Balance Account Statement? It's simple cheat from Amazon India.,GENERAL_COMPLAINT,I am very sorry to hear about the frustration regarding your balance deduction. I understand how concerning this is and would like to investigate this for you immediately. Please send us a DM with your registered email address so we can look into this further. ^AM,"I am very sorry for the frustration this has caused, and I understand how concerning it is to see a balance deduction without a record. Please send us a DM so we can securely look into your account details and investigate this transaction for you immediately.",23.0,25.0
GS_0074,ACCOUNT_ACCESS,"@115850 hey team 
I want to remove my bank. Account details from my Amazon app account 
Please tell me where do I find that delete option",ACCOUNT_ACCESS,"I understand you'd like to remove your bank details from your account. To manage your payment methods, please go to ""Your Account"" and select ""Your Payments."" If you need further assistance with this, please send us a DM so we can look into this for you. ^AS","I’m sorry for the frustration in finding those settings. To remove a payment method, go to ""Your Account,"" select ""Your Payments,"" and click the card you wish to remove. If you need further assistance, please send us a DM so we can help you securely.",25.0,23.0
GS_0094,DEVICE_TECH_SUPPORT,@AmazonHelp it looks like my Alexa account is in US. How do i get that moved to India? I need to use @4694 with Alexa.,DEVICE_TECH_SUPPORT,I’m sorry to hear you’re having trouble updating your Alexa account region. I would be happy to help you look into this. Please send us a DM so we can gather more details and guide you through the necessary steps to update your account settings. ^AM,I’m sorry for the frustration caused by your Alexa account region settings. We want to help you get this updated so you can use your device as intended. Please send us a DM with your account email address so we can look into the migration process for you.,24.0,24.0
GS_0022,ORDER_STATUS,Very disappointed with @115850 .They promised to deliver it on 9th oct. but now my delivery is delayed. I don't know why they do that. https://t.co/EyMLQkVKhI,ORDER_STATUS,I am very sorry to hear about the delay with your order; I understand how frustrating it is when a delivery doesn't arrive as promised. Please send us a DM with your order details so we can look into this and assist you further. ^AM,I am very sorry for the frustration caused by this delivery delay. I understand how disappointing it is to wait for an order that hasn't arrived as expected. Please send us a DM with your order number so we can look into the status of your package for you.,25.0,23.0
GS_0200,GENERAL_COMPLAINT,"@115850 @AmazonHelp @115851 india is a huge market, but amazingly poor customer support wont help at all.. one of the worst.",GENERAL_COMPLAINT,I am truly sorry to hear about your frustrating experience. We strive to provide excellent service and I would like to look into this for you. Please send us a DM with more details regarding your concern so we can assist you further. ^AM,I am truly sorry to hear about your frustrating experience. We strive to provide excellent service and would like to look into this for you. Please send us a DM with your account details so we can investigate this further and assist you directly.,25.0,23.0
GS_0001,ORDER_STATUS,@AmazonHelp I have an Prime account and three of my last order are delayed. I had several calls with your french department assistance. And no one is able to give me « real » answer the point is I paid for a service which is to be delivered in 24h and for theses order it’s 5days now,ORDER_STATUS,I am very sorry to hear about the ongoing frustration with your recent deliveries and the lack of clarity from our support team. I would like to look into this for you immediately. Please send us a DM with your order numbers so we can investigate this further. ^AM,"I am truly sorry for the frustration caused by these repeated delays, especially when you rely on Prime for timely delivery. I would like to look into this for you immediately. Please send us a DM with the order numbers so we can investigate this further.",25.0,25.0
