message_id,true_intent,text,agent_reply,template_reply
GS_0059,RETURN_REFUND,"@AmazonHelp We have returned product on 26th July and still haven't received money back in my account. UTR No: __credit_card__, when we contacted bank they say they didn't receive any amount. PFA. https://t.co/3emfcW5Xdn","I am truly sorry for the delay in receiving your refund and understand how frustrating this is. Please do not share any personal or financial details here. To help us look into this for you, please send us a DM with your order ID so we can investigate further. ^AB",Thanks for reaching out — please send us a DM with your order number so we can look into this for you.
GS_0088,ACCOUNT_ACCESS,BITCH LET ME SIGN IN!!!!!! @AmazonHelp,I am very sorry to hear you are having trouble accessing your account. I understand how frustrating that is. Please send us a DM so we can look into this for you and get you back into your account as quickly as possible. ^AM,Thanks for reaching out — please send us a DM with your order number so we can look into this for you.
GS_0030,ORDER_STATUS,@AmazonHelp Just that an operating change is causing delays. And the other package has been loaded on a truck for last few hours.,I am very sorry for the frustration caused by these delivery delays. I would like to look into the status of these packages for you. Please send us a DM with your order details so we can investigate this further. ^AK,Thanks for reaching out — please send us a DM with your order number so we can look into this for you.
GS_0194,PRIME_SUBSCRIPTION,"@115830 Amazon prime: horrible customer service for a very misleading marketing: pretending free trial and then been told it's not a free trial, APPALING",I am truly sorry to hear about your frustration regarding the Prime trial experience. We want to look into this for you right away. Please send us a DM so we can gather more details and assist you further with your account. ^KM,Thanks for reaching out — please send us a DM with your order number so we can look into this for you.
GS_0190,GENERAL_COMPLAINT,@AmazonHelp This was my worst experience....I need a response and confirmation today itself,I am very sorry to hear about your experience and understand your frustration. We would like to look into this for you right away. Please send us a DM with your order details so we can investigate what happened and assist you further. ^AM,Thanks for reaching out — please send us a DM with your order number so we can look into this for you.
GS_0192,DEVICE_TECH_SUPPORT,@115850 @AmazonHelp Alexa's accent for Indian English is horrible. Just horrible. And skills are blocked for other languages.,I’m sorry to hear you’re disappointed with the voice experience and skill availability on your device. We’re always working to improve Alexa’s language capabilities. Please send us a DM so we can gather more details and share your feedback with our technical team. ^AM,Thanks for reaching out — please send us a DM with your order number so we can look into this for you.
GS_0128,DELIVERY_DAMAGE,"@115830 What’s happening to your delivery service,my last two orders have been left on the doorstep in plain sight and today I received one of your new style missed delivery notifications! https://t.co/D3TCpTj1XX",I am very sorry to hear about the issues with your recent deliveries and the frustration caused by the missed notification. We would like to look into this for you. Please send us a DM with your order details so we can investigate this further. ^AS,Thanks for reaching out — please send us a DM with your order number so we can look into this for you.
GS_0111,PRIME_SUBSCRIPTION,"@115850 I'm a prime user bt still being charged 4 transportation of d product (order ""406-9983915-0345141"")..Please refund the same...",I am sorry to hear about the unexpected shipping charges on your Prime order. I would like to look into this for you. Please send us a DM with your order number so we can investigate the charges and assist you further. ^AM,Thanks for reaching out — please send us a DM with your order number so we can look into this for you.
GS_0157,RETURN_REFUND,"@AmazonHelp @115821 @115787 @15913 Okay so the console itself seems to be fine. However, the damaged box. Any chance of a replacement? Just the Scorpio Edition Box only? I would even happily return the damaged one. If Not, then what?","I am very sorry to hear your Scorpio Edition box arrived damaged; I understand how disappointing that is for a collector's item. While we cannot send replacement packaging separately, please send us a DM so we can look into your return and resolution options. ^AM",Thanks for reaching out — please send us a DM with your order number so we can look into this for you.
GS_0162,DELIVERY_DAMAGE,"Hey @115821, you’re shipping my order to the wrong address. Not sure if someone will be there when you try to deliver (again). How do we fix this?",I am very sorry to hear about the trouble with your delivery address and the concern regarding your package. We want to make sure this is corrected for you. Please send us a DM with your order number so we can look into this and assist you further. ^AM,Thanks for reaching out — please send us a DM with your order number so we can look into this for you.
GS_0032,ORDER_STATUS,Why does @116090  even bother offering two day shipping when they send it regular mail via @132668 .  It never arrives in that time frame.,I am very sorry to hear that your delivery hasn't met your expectations. We want to ensure your orders arrive on time. Please send us a DM with your order number so we can look into the status of your shipment and assist you further. ^AM,Thanks for reaching out — please send us a DM with your order number so we can look into this for you.
